,heating_rate,heating_threshold
Île-de-France,955.4510043361095,15.550000000000107
Centre-Val de Loire,178.1133697855115,15.850000000000112
Bourgogne-Franche-Comté,209.0183492275438,15.350000000000104
Normandie,227.7484658136781,15.0500000000001
Hauts-de-France,526.2853861621513,15.0000000000001
Grand Est,450.9721384169154,15.150000000000102
Pays de la Loire,260.66359212710415,15.70000000000011
Bretagne,223.96952788602607,15.300000000000104
Nouvelle-Aquitaine,346.72420377826995,16.250000000000117
Occitanie,276.4385315415961,14.800000000000097
Auvergne-Rhône-Alpes,501.7552203812135,13.350000000000076
Provence-Alpes-Côte d'Azur,231.50425557864844,13.550000000000079
