tech,capex,fOM,storage_capex,construction_time,discount_rate,lifetime,vOM
offshore_float,5017.5,100.3,,3.5,0.04,30,0.0
offshore_ground,4807.0,79.9,,3.5,0.04,30,0.0
onshore,836.5,32.0,,1.5,0.04,25,0.0
pv_ground,686.8,15.3,,0.5,0.04,25,0.0
pv_roof_com,799.85,17.85,,0.25,0.04,25,0.0
pv_roof_indiv,1538.5,47.2,,0.0,0.04,25,0.0
river,1400.0,74.0,,7.0,0.04,70,0.000625
marine,2375.0,343.75,,0.0,0.04,25,0.0
waste,0.0,0.0,,0.0,0.04,25,0.0
biomass_coge,3900.0,78.0,,0.0,0.04,25,0.004125
geothermal_coge,7537.5,150.75,,0.0,0.04,30,0.0
ocgt_coge,1212.5,47.2875,,0.0,0.04,30,0.005
nuclear,8250.0,103.0,,10.0,0.04,60,0.0083
coal,0.0,0.0,,0.0,0.04,40,0.0
ch4_ocgt,814.0,23.0,,2.0,0.04,25,0.0
ch4_ccgt,1015.0,47.0,,3.0,0.04,25,0.0
h2_ccgt,1241.0,51.0,,3.0,0.04,25,0.0
lake,2500.0,74.0,,7.0,0.04,70,0.0
phs,2500.0,74.0,85.0,7.0,0.04,70,0.0
battery_1h,0.0,14.0,297.0,0.25,0.04,20,0.0
battery_2h,0.0,16.0,244.0,0.25,0.04,20,0.0
battery_4h,0.0,24.0,224.0,0.25,0.04,20,0.0
battery_8h,0.0,40.0,210.0,0.25,0.04,20,0.0
methanization,2875.0,117.875,,2.0,0.04,20,0.003875
pyrogazification,3468.75,312.1875,,2.0,0.04,20,0.0444
biogas_import,0.0,0.0,,0.0,0.04,1,0.175
H2_import,0.0,0.0,,0.0,0.04,1,0.2
natural_gas,0.0,0.0,,0.0,0.04,1,0.0
electrolysis,858.2089552238806,15.0,,2.0,0.04,20,0.0
methanation,1609.5,97.125,,2.0,0.04,20,0.0
h2_saltcavern,0.0,2.5,0.35,3.0,0.04,40,0.00625
ch4_reservoir,0.0,0.0,0.0,0.0,0.04,30,0.0025
str_dummy,10000.0,1250.0,1000.0,10.0,0.04,10,1.25
rsv_dummy,10000.0,1250.0,,10.0,0.04,10,1.25
lost_load,0.0,0.0,,0.0,0.04,1,10.0
