offshore_float,118
offshore_ground,94
onshore,40
pv_ground_S,21
pv_roof_com_S,18
pv_roof_indiv_S,59
pv_ground_EW,21
pv_roof_com_EW,18
pv_roof_indiv_EW,59
river,53
lake,74
nuclear,103
ch4_ocgt,23
ch4_ccgt,47
phs,74
electrolysis,15
h2_saltcavern,2.5
h2_ccgt,50
methanization,117.875
battery_1h,14
battery_4h,24
ch4_reservoir,0
methanation,97.125
pyrogazification,312.1875
natural_gas,0
coal,0
marine,343.75
waste,0
biomass_coge,78
geothermal_coge,150.75
ocgt_coge,47.2875
str_dummy,1250
rsv_dummy,1250
