,Installed power [GW],Energy capacity [GWh],Generated energy [TWh],Load factor [%],FCR [TWh],FRR [TWh],lcoe [€/MWh],lcoe without input [€/MWh]
offshore_float,6.291957212100205e-13,,,,,,No new plants,
offshore_ground,2.276864405985046e-12,,,,,,No new plants,
onshore,119.99999999998127,,318.7934302330303,30.32662007544521,,,47.686815545787695,
pv_ground_S,94.99999999559455,,134.8685572201657,16.206267390821917,,,51.04548888546558,
pv_ground_EW,9.503035251233006e-11,,,,,,No new plants,
pv_roof_com_S,7.434959973161327,,10.55518236438369,16.206267390821917,,,54.83862182274451,
pv_roof_com_EW,1.0044881039692093e-10,,,,,,No new plants,
pv_roof_indiv_S,1.6431546997450981e-12,,,,,,No new plants,
pv_roof_indiv_EW,1.9266391626004167e-12,,,,,,No new plants,
river,7.82767281,,37.573932100066294,54.796128547671245,,,No new plants,
lake,13.3121875,,21.3555165890676,18.312875772540032,,,No new plants,
nuclear,1.6703498542961745e-08,,,,,,No new plants,
methanization,14.2437214629021,,124.7749999999924,99.99999998795433,,,49.37834172528273,
pyrogazification,4.439389656432923,,38.88905338156642,99.99999997740754,,,118.70359634727419,
natural_gas,,,,,,,,
coal,,,,,,,,
biomass_coge,0.7999999999101851,,2.8047275516851173,40.02179726027397,,,113.39313928994937,
geothermal_coge,2.075870848786339e-12,,,,,,No new plants,
waste,0.519,,0.787083960775221,17.31209387510274,,,,
marine,0.2430450000016942,,0.9590290781016851,45.04441780821919,,,134.19997048933956,
rsv_dummy,,,,,,,,
ch4_ocgt,5.434560788692429,,0.3056461422308263,0.6420226672117427,,,1960.3224282477606,1659.241948493691
ch4_ccgt,7.543330263659837,,10.240277925010094,15.496888740513167,,,302.8855762927367,102.16525642115076
h2_ccgt,1.3056673668170612e-08,,,,,,No new plants,
electrolysis,13.400000004964548,,60.619200029217524,51.64179105053397,,,91.48424042139474,16.995279059278225
methanation,4.483420081616743,,19.643591859109733,50.01581652349205,,,117.93229569357145,58.03811789561689
ocgt_coge,3.331804357111712e-11,,,,,,No new plants,
phs,5.059963000069315,101.00000002396631,6.603755442549845,14.898396707868123,,,1763767875345.4434,2196.6174858117633
battery_1h,1.570774826023183,1.570774826023183,1.225492289481533,8.906202070476512,,,74.87079759720895,55.10263953408377
battery_4h,9.49217034737761,37.96868138951044,11.726763727521751,14.102903860788038,,,121.7422330109528,86.94486740638966
h2_saltcavern,6.920000066502166,3999.9999999468423,20.596321751151287,33.97656444363792,,,85.25873427976097,13.753430646881782
ch4_reservoir,88.417,118900.0,18.389651814509453,2.37428924447904,,,120.43219196127107,2.5
str_dummy,4.619469641735511e-10,6.684115999903272e-09,,,,,No new plants,
